Tue Apr 07 13:47:31 CEST 2015;rhondaberglas;Irvine, CA;selfie,vincent,selfie,Laila,amsterdam,http://t.co/X2LEUsLRtt
Tue Apr 07 13:44:51 CEST 2015;LailaSusanna;Åbo, Finland;selfie,vincent,selfie,Laila,amsterdam,Van,Gogh,Museum,https://t.co/CnuuN59res
Tue Apr 07 13:11:39 CEST 2015;Danni1385;Sanford, FL;Vincent,and,Skylah,are,ready,for,picture,day,Vincent,Skylah,LoveThem,MakeTimeForYourChildren…,https://t.co/TccEuSx2iu
Tue Apr 07 13:02:58 CEST 2015;greekbatb;Greece;@QBatb,German,Beasties,batb,batbQuotes,beasties,kristinkreuk,catherinechandler,jayryan,vincent,keller,http://t.co/5YWLTH…
Tue Apr 07 12:47:51 CEST 2015;Keko_RS;Cádiz y alrededores;@classicdriver,This,six-figure,Vincent,almost,ended,the,scrapheap,Full,Story,http://t.co/epTfMQyvKE,Vincent,@bonhams1793,http:…
Tue Apr 07 12:18:08 CEST 2015;classicdriver;;This,six-figure,Vincent,almost,ended,the,scrapheap,Full,Story,http://t.co/epTfMQyvKE,Vincent,@bonhams1793,http://t.co/ZVNl9RZP53
Tue Apr 07 11:58:47 CEST 2015;ahmedgulf1;KUWAIT;@AlessandroForn6,VAN,GOGH,STARRY,NIGHT,OVER,THE,RHONE,1888,vangogh,vincent,artist,art,artwit,twitart,iloveart,followart,http…
Tue Apr 07 11:48:34 CEST 2015;overjas;;@AlessandroForn6,VAN,GOGH,STARRY,NIGHT,OVER,THE,RHONE,1888,vangogh,vincent,artist,art,artwit,twitart,iloveart,followart,http…
Tue Apr 07 11:47:31 CEST 2015;melodiya09;no permanent address ☺☺;bigeye,cutiepatootie,vincent,https://t.co/sU725UsPcu
Tue Apr 07 11:46:35 CEST 2015;maya4414;;@AlessandroForn6,VAN,GOGH,STARRY,NIGHT,OVER,THE,RHONE,1888,vangogh,vincent,artist,art,artwit,twitart,iloveart,followart,http…
Tue Apr 07 11:45:55 CEST 2015;masakij7;;@AlessandroForn6,VAN,GOGH,STARRY,NIGHT,OVER,THE,RHONE,1888,vangogh,vincent,artist,art,artwit,twitart,iloveart,followart,http…
Tue Apr 07 11:45:52 CEST 2015;bfmz1963;Abidjan Côte d'Ivoire;@AlessandroForn6,VAN,GOGH,STARRY,NIGHT,OVER,THE,RHONE,1888,vangogh,vincent,artist,art,artwit,twitart,iloveart,followart,http…
