Tue Apr 21 06:15:01 CEST 2015;CumboFanny;;Quand,réveille,min,avant,que,ton,réveil,sonne,journée,commence,tellement,mal,VDM
Tue Apr 21 05:58:33 CEST 2015;VidaDeMemes;;ZonaDoGuaxinim,VDM,Truques,com,cartas,vistos,ângulo,mágico,http://t.co/leyAsejW56,Via,@ZonaDoGuaxinim
Tue Apr 21 05:29:37 CEST 2015;naiimcoYT;;J'arrive,plus,dormir,dans,mon,lit,vais,devoir,continuer,dormir,sur,mon,canap,VDM
Tue Apr 21 05:26:32 CEST 2015;imXilou;;J'etais,trop,content,faire,grace,mat,finalement,n'arrive,pas,dormir,VDM
Tue Apr 21 04:25:08 CEST 2015;kellandamm;ND/USA;Good,first,day,new,job,Got,assigned,large,design,project,Good,vdm,practice
Tue Apr 21 03:39:47 CEST 2015;Zeiks99;;Tellement,chiant,que,les,gens,s'endorment,quand,j'leur,cause,VDM
Tue Apr 21 02:27:55 CEST 2015;Artloooooss;Localisation;vdm
Tue Apr 21 02:23:56 CEST 2015;PaulaRecabarren;;Hola,hola,guatero,VDM
Tue Apr 21 01:53:47 CEST 2015;RitterMeryl;;@Adrenalienne,meurs,😂😂😂,VDM,Potterhead,http://t.co/M6Vvi6dmUU
Tue Apr 21 01:53:11 CEST 2015;heisminallmine;;@Adrenalienne,meurs,😂😂😂,VDM,Potterhead,http://t.co/M6Vvi6dmUU
Tue Apr 21 01:51:45 CEST 2015;longlivenyc;勇敢;@Adrenalienne,meurs,😂😂😂,VDM,Potterhead,http://t.co/M6Vvi6dmUU
Tue Apr 21 01:42:03 CEST 2015;DoKS_POW3R;;J'ai,l'ancien,portable,mon,frère,mais,carte,crédit,marche,pas,dessus,VDM
Tue Apr 21 01:13:13 CEST 2015;typeordinaire;Dans les montagnes;@LadyShagass,toi,aussi,t'es,sur,Twitter,c'est,que,toi,non,plus,baises,pas,soir,VDM,absolue,clairement
Tue Apr 21 01:11:38 CEST 2015;LadyShagass;Paris, France;toi,aussi,t'es,sur,Twitter,c'est,que,toi,non,plus,baises,pas,soir,VDM,absolue,clairement
Tue Apr 21 01:00:24 CEST 2015;ZOLTAR328;Here, there and everywhere;CorvoSkull,une,VDM,Aujourd'hui,travaille,parc,Astérix,Une,vieille,dame,s'installe,dans,wago,http://t.co/OWLyyvvqEb,VDM
Tue Apr 21 01:00:24 CEST 2015;ZOLTAR328;Here, there and everywhere;Anonyme,une,VDM,Aujourd'hui,suis,pris,coup,poing,dans,nez,coup,été,assez,fort,http://t.co/SDgT68UC6g,VDM
Tue Apr 21 01:00:24 CEST 2015;ZOLTAR328;Here, there and everywhere;so_alone,une,VDM,Aujourd'hui,Allemagne,pour,mois,j'entame,mon,premier,jour,lycée,prof,http://t.co/zkVHUFhZOT,VDM
Tue Apr 21 00:53:59 CEST 2015;FaraaNicole;;C'est,une,vie,faire,reveiller,par,laRa,Team143,GadjiDuParc,VDM
Tue Apr 21 00:41:12 CEST 2015;lafollebonbon;;Sérieux,qui,ont,des,sorties,scolaires,Before,@combalement,alors,que,moi,ses,Valorys😭😭😭😭😭😭😭😭😭😭🔫🔫🔪🔪💉💣🚬🔫🔪💊💉💣💣,VDM
Tue Apr 21 00:37:07 CEST 2015;XKiiliaan;Fr;@MaelAnimateur,Meuf,coter,moi,palais,des,sports,coca,Life,c'est,coca,bio,VDM,CauetAuPalaisDesSports
Tue Apr 21 00:35:26 CEST 2015;Mlle_K_;Lyon, Rhône-Alpes;nuit,être,longue,Trop,pensive,vdm,juste,pour,PDG
Tue Apr 21 00:31:50 CEST 2015;Adrien_77280;;Demain,vais,bosser,pendant,que,famille,pavaner,parc,Astérix,VDM
Tue Apr 21 00:23:12 CEST 2015;airfrance_sav;loin de vous;@Pucca76,@AirFranceFR,bagage,perdu,Sur,Paris,Barcelone,devait,arriver...il,est,localisé,vdm,badluck,dubitative
Tue Apr 21 00:08:59 CEST 2015;robertapin;Florianopolis-SC;@leonardoxtu,hahaha,acho,que,não,mudança,suficiente,mundo,para,fazer,isso,acontecer,hahahahah,vdm
Tue Apr 21 00:08:25 CEST 2015;cod_marc;;Quand,rentres,fatigué,parce,que,trop,marché,que,tram,nargue,que,dois,marcher,encore...#VDM
