Sun Apr 05 18:11:19 CEST 2015;Un_Breton;Au bout du monde / BZH / Fr ;petit,coucou,@titibreton,passant
Sun Apr 05 18:11:18 CEST 2015;Adilooou;Paris;@Mlle_Halisson,mddr,coucou,connaît
Sun Apr 05 18:10:42 CEST 2015;JennoouLove;;@heartomlinsxn,@JennoouLove,coucou,💕💕
Sun Apr 05 18:10:40 CEST 2015;ChaaChaMahbool;;matt,mourad,son,bas,dcher,jleur,fai,coucou,mdrr
Sun Apr 05 18:09:52 CEST 2015;bambi_4keus;snap:bambi_4keus ;@postbadcutee,Des,heure,téléphone,des,petit,coucou,par,sms💘👌,http://t.co/wHB5WpS155
Sun Apr 05 18:09:46 CEST 2015;Xaveny;;Coucou,spéciale,@Mlle_Mode,@Passionatlyfood,@EmmaTrll,@FabienLelion,@Laderkan,Joyeuse,Pâques,tous.Amicalement
Sun Apr 05 18:09:42 CEST 2015;1D_82;Quelque Part;@postbadcutee,Des,heure,téléphone,des,petit,coucou,par,sms💘👌,http://t.co/wHB5WpS155
Sun Apr 05 18:09:37 CEST 2015;EmmanuelleL9;Paris, France,Worldwide;@pierrecappelli,@EmmanuelleL9,Coucou,Emmanuelle,mistral,frais,ici,mais,17°,Lol,pour,ton,correcteur,ortho,révélation,😂😃,Bis…
Sun Apr 05 18:09:25 CEST 2015;NessMgl;;@Maitre_Luxury,Moi,les,gars,qui,dise,Coucou,Hello,OMG,hihihi,vous,vois,comme,http://t.co/GGqUHbPpyC
Sun Apr 05 18:09:15 CEST 2015;GhazalNaderi;||15yo||bae||Cel||JB||;@Maitre_Luxury,Moi,les,gars,qui,dise,Coucou,Hello,OMG,hihihi,vous,vois,comme,http://t.co/GGqUHbPpyC
Sun Apr 05 18:08:45 CEST 2015;sebax2011YT;;Coucou,@Polymanga,http://t.co/YseAkVwkQg
Sun Apr 05 18:08:29 CEST 2015;Theee00;;@MeganeMZT,@Theee00,coucou,tété
Sun Apr 05 18:08:28 CEST 2015;Safaabdelkhaleq;;@Maitre_Luxury,Moi,les,gars,qui,dise,Coucou,Hello,OMG,hihihi,vous,vois,comme,http://t.co/GGqUHbPpyC
Sun Apr 05 18:08:20 CEST 2015;merve_ice;;@Maitre_Luxury,Moi,les,gars,qui,dise,Coucou,Hello,OMG,hihihi,vous,vois,comme,http://t.co/GGqUHbPpyC
Sun Apr 05 18:08:13 CEST 2015;Lucie88100;;Lylie08,ESSAI,BÉBÉ,Bjr,ano,svp,Coucou,les,filles,voilà,date,dernière,règles,mars,depuis,http://t.co/ipxw1Fz0O1
Sun Apr 05 18:08:09 CEST 2015;AmanteLilli;Sud de la France;@RiquetEric,Coucou,mon,Lapinou,Oui,c'est,journée,des,lapins,partout,eux,des,petits,poissons,CâlinouxXx,BisouxXx
Sun Apr 05 18:08:07 CEST 2015;TwiggySayula;;@xpayetonipad,Coucou,Jade,vas,bien
Sun Apr 05 18:08:02 CEST 2015;TheoHerrier;CAEN;Coucou,@AphonseZouc,@JulienAlphonse,http://t.co/a2NpnRi3ey
Sun Apr 05 18:07:44 CEST 2015;biabiole;;@elshmorkinou,Coucou,les,coquines,que,voulez,vous,faire,http://t.co/ZBOaAFDCw0
Sun Apr 05 18:07:44 CEST 2015;rimonza1;;@QueenOfDaGame,@JujuAymelia,@daben59,coucou,les,filles,mia
Sun Apr 05 18:07:41 CEST 2015;mcraffermi;;@netchys,Coucou,@JCDecauxGlobal,désolidarises-tu,christianophobie,Metrobus,@Velib
Sun Apr 05 18:07:38 CEST 2015;WatsonAddict_;Hogwarts;@iWezzy__,Pote,y'a,meuf,que,kiffes,gro,Moi,j'fais,quoi,Pote,fais-lui,coucou,mode,Moi,http://t.co/ixJFMVv3xt
Sun Apr 05 18:07:32 CEST 2015;GiovanniEnFolie;Chartres Eur-et-loire;@Clara_SnL,Coucou,j'ai,une,question,joue,sniper,sur,Black,Ops
Sun Apr 05 18:07:16 CEST 2015;OMissud;;@nicolasduperey,@micheledelaunay,coucou,Michèle,vla,tweet,d'un,tes,amis,bah,l'a,signalé,sur,pharos,https://t.co/x6yJdBQYHy
Sun Apr 05 18:07:09 CEST 2015;JeanneVzr;France;@alainjuppe,Coucou,c'est,moi,http://t.co/Fyvfenb4Wq
Sun Apr 05 18:06:55 CEST 2015;LouisedesPlaces;;@AlzheimerGuy,Coucou,tout,monde,Depuis,temps,qu’on,m’en,parle,suis,enfin,inscrit,sur,Twitter
Sun Apr 05 18:06:48 CEST 2015;marieloute;;@Maitre_Luxury,Moi,les,gars,qui,dise,Coucou,Hello,OMG,hihihi,vous,vois,comme,http://t.co/GGqUHbPpyC
Sun Apr 05 18:06:42 CEST 2015;Cindy_Sdl;Femmes Fatales Academy ;@postbadcutee,Des,heure,téléphone,des,petit,coucou,par,sms💘👌,http://t.co/wHB5WpS155
Sun Apr 05 18:06:41 CEST 2015;chanezguechi;;@AnaBrownBaby,Coucou,qui,supp,mon,num,j'ai,perdu,tous,mes,contacts,UnePhraseQueToutLeMondeDit
Sun Apr 05 18:06:41 CEST 2015;O_R_L_;Lyon (69);@OL,@PSG_inside,Coucou,arrive
Sun Apr 05 18:06:37 CEST 2015;vieuxbouc_;Toulouse/ Ile De La Réunion.;Beaucoup,morts,dès,2ème,tour....coucou,tactique,pourrie
Sun Apr 05 18:06:25 CEST 2015;_moonoff;;@OL,@PSG_inside,Coucou,arrive
Sun Apr 05 18:06:23 CEST 2015;StylinsonVines;3/5 Janos | 2/4 UJ | 2/6 Cim;@LucieWatelet,@StylinsonVines,Coucou,voulais,merci,pour,tout,que,fais,pour,nous,c'est,tellement,énormes,réalise,nos…
Sun Apr 05 18:06:19 CEST 2015;Nantes_A_Loz;Nantes • Loz • Morges • Neuch;Coucou,https://t.co/UGG1HAq3ij
Sun Apr 05 18:06:10 CEST 2015;camille_Vanish;;@Samirement,VOILÀ,J'AIMERAIS,FAIRE,COUCOU,TOUT,MES,FOLLOWERS,PASSEZ,TEMPS,AVEC,EUX,FAIRE,NOUVELLES,RENCONTRES,C'EST,COOL…
Sun Apr 05 18:06:09 CEST 2015;camille_Vanish;;@Samirement,HIER,J'AI,FAIT,PETIT,COUCOU,UNE,ABONNÉE,J'AI,TELLEMENT,AIMER,PASSER,TEMPS,AVEC,ELLE,QUE,VAIS,REVOIR,AUJOUR…
Sun Apr 05 18:06:09 CEST 2015;MzelleEmeline;Douchy-les-Mines / France;@tiffany59v,Coucou,cousine
